ISIN;Ticker;Name;Sektor;Industrie;Land;Datum;Währung;Schlusskurs;Dividende;Gesamteindruck;Marktkapitalisierung (in Milliarden USD);Zielpreis;Bear Market Factor;Bad News Factor;Performance dieses Jahr;Sensitivität;Gewinnrevisionen;Potenzial;MF Tech. Trend;4W Rel. Perf;Vergleichsindex;KGV;LF Wachstum;Eigenkapitalrendite;Operative Gewinnmarge;Eigenmittel;Burchwert zu Preis;Anzahl Sterne;Gesamteindruck Marktumfeld;Umsatz  (in Mio);Reingewinn (in Mio);Reingewinn %;Current Ratio;Langfristiges Eigenkapital;Umsatz zu Aktien;Cash flow zu Umsatz;Ausbezahlte Dividenden (in Mio)
CH0014284498;SFZN;SIEGFRIED HOLDING AG;Biotechnologie;Gesundheitswesen;Schweiz ;02.08.2024;CHF;998;0.39;neutral;5.05;1056.84;-33;222;16.11%;mittel;positiv;leicht überbewertet;positiv;8.95%;STOXX600;19.7;16.60%;15%;13%;41%;21%;3;positiv;1271;113;9%;2.47;28%;68.30%;15.27%;14
DE0007236101;SIE;SIEMENS;Verbraucherelektronik;Industrie;Deutschland;02.08.2024;EUR;157.8;3.29;neutral;139.63;181.33;45;215;-7.13%;mittel;positiv;stark unterbewertet;negativ;-7.19%;STOXX600;12.4;11.30%;17%;15%;33%;45%;2;negativ;77769;7950;10%;1.35;27%;53.61%;14.85%;3362
DE000ENER6Y0;ENR;SIEMENS ENERGY AG;Equipment Alternativenergie;Energie;Deutschland;02.08.2024;EUR;24.18;0;eher negative;22.14;21.21;132;317;101.50%;hoch;positiv;leicht unterbewertet;negativ;-0.99%;STOXX600;12.9;68.40%;-53%;-10%;18%;87%;3;negativ;31119;-4531;-15%;0.83;7%;64.96%;-9.69%;0
DE000SHL1006;SHL;SIEMENS HEALTHINEERS;Medizinische Geräte;Gesundheitswesen;Deutschland;02.08.2024;EUR;48.94;2.39;neutral;59.66;54.98;9;147;-6.96%;mittel;negativ;leicht unterbewertet;negativ;-6.21%;STOXX600;17.1;15.80%;8%;11%;39%;34%;1;positiv;21680;1509;7%;1.05;26%;46.44%;14.14%;1066
CH0435377954;SIGN;SIG GROUP N;Papierprodukte;Rohstoffe;Schweiz ;02.08.2024;CHF;17.68;2.68;neutral;8.1;19.06;42;173;-8.63%;mittel;positiv;fairer Preis;positiv;7.30%;STOXX600;18.5;13.60%;8%;13%;41%;39%;4;negativ;3138;236;8%;0.74;29%;44.81%;20.29%;175
NL0011821392;LIGHT;SIGNIFY;Elektrische Komponenten;Industrie;Holland;02.08.2024;EUR;21.48;7.59;eher negative;3;20.18;87;243;-29.16%;hoch;negativ;leicht unterbewertet;negativ;-6.81%;STOXX600;6.5;14.70%;7%;9%;35%;74%;1;negativ;6704;203;3%;1.14;15%;82.60%;6.62%;210
CH0418792922;SIKA;SIKA;Baustoffe & Einbauten;Baugewerbe & Werkstoffe;Schweiz ;02.08.2024;CHF;248.4;1.55;eher negative;49.17;231.09;74;144;-9.24%;hoch;negativ;fairer Preis;negativ;-0.15%;STOXX600;24.1;19.10%;18%;15%;39%;13%;2;neutral;11239;1062;9%;1.23;31%;73.59%;13.77%;492
SE0000148884;SEBA;SKANDINAVISKA ENSKILDA BANKEN A;Banken;Geldinstitute;Schweden ;02.08.2024;SEK;152;6.84;neutral;31.61;166.54;-30;200;9.51%;mittel;positiv;stark unterbewertet;negativ;1.32%;STOXX600;8.7;3.60%;17%;47%;6%;78%;3;negativ;174082;38116;22%;0.79;13%;4.82%;NULL;14195
SE0000113250;SKAB;SKANSKA AB;Anlagenbau;Baugewerbe & Werkstoffe;Schweden ;02.08.2024;SEK;198.05;4.19;eher positive;7.83;222.75;7;228;8.61%;mittel;positiv;leicht unterbewertet;positiv;9.12%;STOXX600;10.4;18.00%;9%;3%;36%;79%;4;neutral;167168;4998;3%;1.56;9%;105.80%;4.63%;3081
SE0000108227;SKFB;SKF AB;Industriemaschinen;Industrie;Schweden ;02.08.2024;SEK;190.2;4.36;neutral;8.29;218.55;32;188;-5.51%;mittel;negativ;stark unterbewertet;negativ;-6.92%;STOXX600;9.3;8.50%;12%;11%;47%;61%;1;negativ;103881;6395;6%;2.17;16%;92.83%;10.29%;3357
GB0009223206;SN.;SMITH & NEPHEW;Medizinische Geräte;Gesundheitswesen;Grossbritannien ;02.08.2024;GBp;1186.5;2.72;eher positive;13.33;1245.83;-10;163;10.01%;mittel;negativ;stark unterbewertet;positiv;24.50%;STOXX600;13.5;13.10%;5%;17%;52%;44%;3;positiv;4464;212;5%;1.77;23%;56.98%;14.24%;263
GB00B1WY2338;SMIN;SMITHS GROUP;Sonstige Industrieprodukte;Industrie;Grossbritannien ;02.08.2024;GBp;1711;2.7;neutral;7.66;1834.14;6;105;-2.98%;mittel;negativ;leicht unterbewertet;positiv;3.74%;STOXX600;13.8;11.60%;9%;16%;55%;40%;3;negativ;3037;225;7%;1.94;14%;69.74%;11.85%;143
IT0003153415;SRG;SNAM;Gasversorger;Versorger;Italien;02.08.2024;EUR;4.47;6.61;eher positive;15.83;4.69;-37;173;-4.06%;mittel;negativ;stark unterbewertet;positiv;10.93%;STOXX600;11.8;6.90%;15%;38%;23%;49%;3;positiv;4244;1135;27%;0.73;35%;12.63%;48.54%;933
FR0000130809;GLE;SOCIETE GENERALE;Banken;Geldinstitute;Frankreich;02.08.2024;EUR;20.54;5.64;eher negative;17.46;19.51;101;142;-14.53%;hoch;negativ;leicht unterbewertet;negativ;-6.03%;STOXX600;3.7;18.40%;3%;12%;4%;336%;1;negativ;82526;1735;2%;0.7;9%;5.31%;11.44%;NULL
FR0000121220;SW;SODEXO;Restaurants & Bars;Reisen & Freizeit;Frankreich;02.08.2024;EUR;85.8;3.38;eher positive;13.84;90.12;-86;197;18.38%;niedrig;negativ;stark unterbewertet;positiv;7.64%;STOXX600;13.7;11.30%;17%;4%;22%;31%;3;negativ;22637;794;4%;1.16;28%;108.86%;5.53%;352
GB00BYZDVK82;SCT;SOFTCAT;Informatik Dienstleister;Technologie;Grossbritannien ;02.08.2024;GBp;1553;2.83;neutral;4.12;1709.36;-13;313;14.19%;mittel;negativ;fairer Preis;negativ;-9.70%;STOXX600;22.3;16.30%;45%;14%;39%;8%;1;negativ;985;112;11%;1.56;1%;152.12%;11.99%;74
FR0013227113;SOI;SOITEC;Halbleiter;Technologie;Frankreich;02.08.2024;EUR;114.3;0;neutral;4.6;127.42;40;356;-29.36%;mittel;positiv;leicht unterbewertet;positiv;12.14%;STOXX600;12.8;22.20%;12%;21%;56%;44%;4;negativ;978;178;18%;3.28;25%;36.32%;31.08%;0
CH0012549785;SOON;SONOVA HOLDING AG;Medizinische Geräte;Gesundheitswesen;Schweiz ;02.08.2024;CHF;262.2;1.78;neutral;17.8;286.1;21;188;-4.45%;mittel;positiv;fairer Preis;negativ;-3.53%;STOXX600;19.2;15.00%;24%;19%;43%;16%;2;positiv;3627;601;17%;1.45;30%;62.62%;23.36%;274
FR0000050809;SOP;SOPRA STERIA GROUP;Informatik Dienstleister;Technologie;Frankreich;02.08.2024;EUR;170.4;3.02;eher negative;3.75;160.54;89;187;-13.85%;hoch;negativ;stark unterbewertet;negativ;-6.71%;STOXX600;8.7;9.70%;10%;8%;31%;47%;1;negativ;5805;184;3%;0.76;17%;95.63%;6.90%;88
GB0003308607;SXS;SPECTRIS PLC.;Elektrische Komponenten;Industrie;Grossbritannien ;02.08.2024;GBp;2882;2.94;neutral;3.8;3233.84;8;233;-23.74%;mittel;negativ;stark unterbewertet;negativ;4.75%;STOXX600;13.5;11.40%;11%;14%;72%;34%;2;negativ;1454;145;10%;1.89;3%;79.97%;13.97%;80
FR0012757854;SPIE;SPIE;Anlagenbau;Baugewerbe & Werkstoffe;Frankreich;02.08.2024;EUR;34.06;3.18;neutral;6.32;37.99;-5;137;20.35%;mittel;negativ;leicht unterbewertet;negativ;-1.07%;STOXX600;11.4;15.50%;12%;6%;21%;41%;1;neutral;8725;239;3%;0.92;21%;95.35%;6.12%;127
GB00BWFGQN14;SPX;SPIRAX-SARCO ENGIN.;Industriemaschinen;Industrie;Grossbritannien ;02.08.2024;GBp;8520;2.04;neutral;8.32;9255.65;60;196;-18.90%;mittel;positiv;fairer Preis;negativ;3.32%;STOXX600;21.2;18.60%;16%;18%;43%;15%;3;negativ;1683;184;11%;2.26;35%;62.13%;16.68%;115
SE0000120669;SSAB;SSAB AB;Stahl;Rohstoffe;Schweden ;02.08.2024;SEK;51.28;5.27;neutral;4.91;49.25;28;221;-33.47%;mittel;negativ;stark unterbewertet;negativ;-7.73%;STOXX600;7.3;1.00%;19%;14%;63%;124%;1;negativ;119519;13029;11%;2.68;8%;110.83%;13.98%;8960
GB0007908733;SSE;SSE;Stromversorger;Versorger;Grossbritannien ;02.08.2024;GBp;1908;3.47;eher positive;25.98;2019.03;-14;183;2.80%;mittel;positiv;stark unterbewertet;positiv;11.10%;STOXX600;9.8;8.30%;19%;31%;32%;51%;4;positiv;10457;1711;16%;1.1;35%;36.99%;24.57%;991
GB0007669376;STJ;ST JAMES'S;Lebensversicherungen;Versicherungen;Grossbritannien ;02.08.2024;GBp;688;2.62;eher negative;4.91;487.01;123;330;0.64%;hoch;negativ;leicht überbewertet;positiv;29.03%;STOXX600;10.4;3.20%;-1%;3%;1%;26%;2;neutral;18991;-10;0%;3.31;0%;11.02%;0.15%;290
GB0004082847;STAN;STANDARD CHARTERED;Banken;Geldinstitute;Grossbritannien ;02.08.2024;GBp;689;3.84;eher negative;23.19;619.81;78;210;3.36%;hoch;negativ;leicht unterbewertet;negativ;-0.76%;STOXX600;4.2;11.10%;7%;27%;5%;198%;2;negativ;30522;2510;8%;2.17;13%;4.73%;11.05%;457
NL00150001Q9;STLA;STELLANTIS;Fahrzeugbau;Automobile & Zubehör;Italien;02.08.2024;EUR;14.68;9.59;neutral;48.8;18.34;66;195;-30.57%;mittel;negativ;leicht unterbewertet;negativ;-16.80%;STOXX600;3.3;1.10%;23%;13%;40%;128%;1;negativ;189544;18596;10%;1.24;10%;93.77%;13.79%;4208
NL0000226223;STM;STMICROELECTRONICS;Halbleiter;Technologie;Frankreich;02.08.2024;EUR;27.92;0.96;eher negative;28.75;26.52;115;211;-38.29%;hoch;negativ;stark unterbewertet;negativ;-22.16%;STOXX600;10.8;16.10%;26%;28%;68%;37%;1;negativ;15989;3895;24%;3.17;11%;72.23%;NULL;NULL
FI0009005961;STERV;STORA ENSO OYJ;Papierprodukte;Rohstoffe;Finnland;02.08.2024;EUR;10.86;3.24;eher negative;9.7;10.31;83;210;-13.33%;hoch;negativ;leicht unterbewertet;negativ;-11.16%;STOXX600;10;37.00%;-3%;-7%;53%;143%;1;negativ;9396;-357;-4%;1.74;21%;45.27%;NULL;472
NO0003053605;STB;STOREBRAND;Lebensversicherungen;Versicherungen;Norwegen;02.08.2024;NOK;105.4;4.63;neutral;4.42;115.58;-34;135;17.06%;mittel;negativ;stark unterbewertet;negativ;-0.03%;STOXX600;9.9;8.20%;12%;9%;3%;72%;2;neutral;73853;3350;5%;0.17;6%;8.24%;NULL;1715
CH1175448666;STMN;STRAUMANN HLDG.;Medizinische Geräte;Gesundheitswesen;Schweiz ;02.08.2024;CHF;109.25;0.93;eher negative;20.78;98.09;95;216;-19.43%;hoch;negativ;fairer Preis;negativ;-1.65%;STOXX600;26;21.30%;13%;16%;54%;8%;1;positiv;2412;246;10%;1.95;12%;71.03%;15.60%;127
LU0075646355;SUBC;SUBSEA 7;Bohranlagen & Dienstleistungen;Energie;Norwegen;02.08.2024;NOK;202.6;3.11;eher positive;5.59;222.82;-94;193;36.71%;niedrig;negativ;leicht unterbewertet;positiv;3.15%;STOXX600;9.6;158.70%;0%;4%;53%;99%;3;negativ;63145;163;0%;1.1;12%;76.80%;9.26%;1185
SE0007100599;SHBA;SV. HANDELSBANKEN AB;Banken;Geldinstitute;Schweden ;02.08.2024;SEK;102.1;10.2;eher positive;19.57;115.57;-55;295;-6.72%;niedrig;positiv;stark unterbewertet;positiv;3.70%;STOXX600;9.2;0.70%;14%;48%;6%;96%;4;negativ;175680;29106;17%;0.69;29%;4.97%;17.56%;15840
SE0000112724;SCAB;SVENSKA CELLULOSA;Produkte für den privaten Bedarf;Privat- & Haushaltswaren;Schweden ;02.08.2024;SEK;139.55;2.26;neutral;9.39;158.57;8;168;-7.64%;mittel;negativ;leicht unterbewertet;negativ;-6.00%;STOXX600;18.1;17.40%;4%;14%;70%;108%;1;negativ;18081;3675;20%;1.38;8%;12.22%;31.11%;1756
SE0014960373;SWECA;SWECO AB;Dienstleister für Unternehmen;Industrie;Schweden ;02.08.2024;SEK;164.1;2.06;neutral;5.7;176.62;-12;220;21.47%;mittel;negativ;fairer Preis;positiv;12.40%;STOXX600;21.2;18.00%;16%;9%;42%;24%;3;negativ;28523;1667;6%;1.12;17%;111.80%;10.59%;968
SE0000242455;SWEDA;SWEDBANK AB;Banken;Geldinstitute;Schweden ;02.08.2024;SEK;215;7.7;neutral;23.26;235.59;-5;180;5.76%;mittel;negativ;stark unterbewertet;negativ;2.28%;STOXX600;8.3;1.90%;17%;58%;7%;87%;2;negativ;138536;34128;25%;1.1;20%;4.85%;26.02%;10964
SE0000872095;SOBI;SWEDISH ORPHAN BIOVITRUM;Pharmaka;Gesundheitswesen;Schweden ;02.08.2024;SEK;270.4;0;neutral;8.84;302.14;-34;234;1.27%;mittel;negativ;leicht unterbewertet;negativ;-0.25%;STOXX600;13.6;27.20%;7%;21%;46%;37%;1;positiv;22124;2409;11%;0.66;16%;29.89%;25.35%;0
CH0014852781;SLHN;SWISS LIFE HOLDING;Lebensversicherungen;Versicherungen;Schweiz ;02.08.2024;CHF;649.8;5.68;eher positive;22.06;714.27;-29;191;11.27%;mittel;positiv;stark unterbewertet;positiv;0.98%;STOXX600;14.1;10.10%;14%;11%;3%;45%;4;neutral;15105;1083;7%;0.06;2%;6.95%;NULL;877
CH0008038389;SPSN;SWISS PRIME SITE;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Schweiz ;02.08.2024;CHF;90;3.79;eher positive;7.82;94.5;-55;113;0.17%;niedrig;negativ;leicht überbewertet;positiv;8.31%;STOXX600;27.8;9.60%;1%;61%;47%;95%;2;neutral;659;90;14%;NULL;38%;4.78%;15.07%;261
CH0126881561;SREN;SWISS RE;Rückversicherungen;Versicherungen;Schweiz ;02.08.2024;CHF;103.6;6.38;neutral;36;114.85;-29;194;9.56%;mittel;negativ;leicht unterbewertet;negativ;-1.47%;STOXX600;7.8;8.70%;21%;10%;9%;49%;1;neutral;44430;2888;7%;0.41;5%;30.43%;6.50%;1663
CH0008742519;SCMN;SWISSCOM;Integrale Telekommunikation;Telekommunikation;Schweiz ;02.08.2024;CHF;529.5;4.15;positive;32.01;563.92;-63;181;4.64%;niedrig;positiv;fairer Preis;positiv;7.20%;STOXX600;16.9;7.60%;15%;21%;47%;44%;4;positiv;11072;1711;15%;0.79;27%;44.74%;36.56%;1140
CH0010675863;SQN;SWISSQUOTE GROUP;Wertpapierdienstleistungen;Finanzdienstleistungen;Schweiz ;02.08.2024;CHF;263.6;2.22;eher positive;4.77;309.18;-3;194;28.84%;mittel;positiv;stark unterbewertet;negativ;-5.98%;STOXX600;11.6;12.20%;24%;44%;9%;30%;2;neutral;589;218;37%;NULL;0%;5.91%;NULL;33
DK0010311471;SYDB;SYDBANK;Banken;Geldinstitute;Dänemark;02.08.2024;DKK;343;7.9;neutral;2.72;389.34;-31;229;16.83%;mittel;negativ;stark unterbewertet;negativ;-4.69%;STOXX600;6.8;1.00%;22%;50%;8%;93%;1;negativ;9570;3297;34%;0.08;7%;5.17%;35.90%;959
BE0974464977;SYENS;SYENSQO;Biotechnologie;Gesundheitswesen;Belgien;02.08.2024;EUR;71.79;2.37;eher negative;8.42;68.2;93;194;-21.67%;hoch;negativ;stark unterbewertet;negativ;-12.33%;STOXX600;9;8.80%;3%;13%;54%;71%;1;positiv;6834;193;3%;2.05;20%;52.32%;11.88%;436
DE000SYM9999;SY1;SYMRISE;Spezialitäten-Chemie;Chemie;Deutschland;02.08.2024;EUR;111.25;1.13;neutral;17.4;120.15;-42;221;11.65%;mittel;positiv;fairer Preis;positiv;-0.49%;STOXX600;25.1;21.80%;9%;11%;45%;26%;4;positiv;4753;340;7%;2.88;31%;59.22%;13.25%;147
DE0008303504;TEG;TAG IMMOBILIEN;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Deutschland;02.08.2024;EUR;14.34;3.87;eher positive;2.7;16.34;28;206;8.68%;mittel;positiv;leicht unterbewertet;positiv;7.46%;STOXX600;14.1;8.40%;-14%;21%;39%;125%;4;neutral;1335;-397;-30%;NULL;40%;18.17%;-28.84%;0
DE000TLX1005;TLX;TALANX AG;Universalversicherungen;Versicherungen;Deutschland;02.08.2024;EUR;66.85;4;neutral;19.01;74.82;-32;193;3.40%;mittel;negativ;leicht unterbewertet;negativ;-4.27%;STOXX600;7.9;8.90%;15%;7%;6%;63%;1;neutral;49064;1581;3%;0.08;5%;27.89%;NULL;507
GB00BP92CJ43;TATE;TATE & LYLE;Nahrungsmittel;Nahrungsmittel & Getränke;Grossbritannien ;02.08.2024;GBp;641;3.21;neutral;3.2;690.85;-4;179;-2.73%;mittel;negativ;stark unterbewertet;positiv;9.12%;STOXX600;10.1;8.20%;15%;15%;54%;51%;3;neutral;1647;188;11%;3.22;25%;72.17%;17.12%;76
GB0008782301;TWW;TAYLOR WIMPEY;Eigenheimbau;Privat- & Haushaltswaren;Grossbritannien ;02.08.2024;GBp;154.6;6.21;neutral;7.19;166.07;5;138;5.13%;mittel;negativ;stark unterbewertet;positiv;9.43%;STOXX600;13.1;13.70%;8%;14%;72%;87%;3;negativ;3515;349;10%;5.37;2%;56.19%;10.29%;338
CH0012100191;TECN;TECAN GROUP AG;Medizinische Geräte;Gesundheitswesen;Schweiz ;02.08.2024;CHF;318;0.99;neutral;4.82;287.39;33;181;-7.40%;mittel;positiv;leicht überbewertet;positiv;6.75%;STOXX600;23.6;15.60%;10%;12%;64%;31%;3;positiv;1074;132;12%;2.86;14%;50.77%;18.88%;37
NL0014559478;TE;TECHNIP ENERGIES;Bohranlagen & Dienstleistungen;Energie;Frankreich;02.08.2024;EUR;20.64;3.19;neutral;4.34;23.88;-1;255;-2.46%;mittel;positiv;leicht unterbewertet;negativ;-0.09%;STOXX600;7.7;11.30%;16%;10%;22%;51%;3;negativ;6004;297;5%;1.03;9%;68.40%;6.52%;91
SE0005190238;TEL2B;TELE2 AB;Integrale Telekommunikation;Telekommunikation;Schweden ;02.08.2024;SEK;112;6.3;positive;7.1;119.28;-112;203;29.42%;niedrig;negativ;stark unterbewertet;positiv;9.12%;STOXX600;16.1;12.80%;16%;20%;34%;39%;3;positiv;29099;3731;13%;0.65;39%;44.05%;33.96%;4702
IT0003497168;TIT;TELECOM ITALIA;Integrale Telekommunikation;Telekommunikation;Italien;02.08.2024;EUR;0.22;0;neutral;5.44;0.24;-66;369;-26.21%;niedrig;negativ;tark überbewertet;negativ;-3.46%;STOXX600;-1.8;-276.50%;-11%;9%;22%;305%;0;positiv;16296;-1441;-9%;0.62;41%;26.22%;21.00%;189
ES0178430E18;TEF;TELEFONICA;Integrale Telekommunikation;Telekommunikation;Spanien;02.08.2024;EUR;4.12;7.28;positive;25.38;4.63;-54;255;16.64%;niedrig;positiv;leicht unterbewertet;positiv;7.60%;STOXX600;10.8;30.50%;-8%;9%;14%;72%;4;positiv;40652;-1146;-3%;0.84;46%;38.97%;NULL;2139
NO0010063308;TEL;TELENOR;Mobile Kommunikation;Telekommunikation;Norwegen;02.08.2024;NOK;131.1;7.37;positive;16.16;139.62;-101;190;12.44%;niedrig;negativ;stark unterbewertet;positiv;11.17%;STOXX600;13.7;5.20%;-8%;8%;30%;40%;3;positiv;80452;-4856;-6%;0.86;41%;36.84%;15.75%;13017
FR0000051807;TEP;TELEPERFORMANCE;Informatik Dienstleister;Technologie;Frankreich;02.08.2024;EUR;110.55;4.14;neutral;7.61;125.41;17;348;-16.28%;mittel;positiv;leicht unterbewertet;positiv;5.83%;STOXX600;6;11.10%;14%;12%;36%;53%;4;negativ;8345;602;7%;1.33;38%;71.00%;14.72%;227
SE0000667925;TELIA1;TELIA COMPANY AB;Mobile Kommunikation;Telekommunikation;Finnland;02.08.2024;EUR;2.72;6.41;positive;11.15;2.89;-83;199;17.76%;niedrig;positiv;stark unterbewertet;positiv;12.74%;STOXX600;15;13.60%;1%;5%;24%;53%;4;positiv;7736;26;0%;0.99;43%;38.03%;NULL;NULL
CH0012453913;TEMN;TEMENOS AG;Software;Technologie;Schweiz ;02.08.2024;CHF;56.15;2.14;neutral;5.04;64.09;-30;428;-28.22%;mittel;negativ;fairer Preis;negativ;-7.82%;STOXX600;16;12.30%;21%;22%;29%;10%;1;negativ;899;121;13%;0.49;24%;45.90%;26.58%;79
LU2598331598;TEN;TENARIS;Stahl;Rohstoffe;Italien;02.08.2024;EUR;12.96;4.46;neutral;17.1;12.47;10;205;-17.69%;mittel;negativ;stark unterbewertet;negativ;-7.35%;STOXX600;7.9;1.30%;24%;31%;80%;83%;1;negativ;13753;3624;26%;3.62;1%;72.06%;30.04%;589
IT0003242622;TRN;TERNA RETE ELETTRICA NAZ;Stromversorger;Versorger;Italien;02.08.2024;EUR;7.67;4.83;neutral;16.36;8.02;-40;144;1.51%;mittel;negativ;leicht unterbewertet;positiv;9.00%;STOXX600;14.9;9.40%;17%;47%;23%;35%;3;positiv;3123;885;28%;0.66;44%;13.30%;53.87%;672
GB00BLGZ9862;TSCO;TESCO;Nahrungsmittel;Einzel- & Grosshandel;Grossbritannien ;02.08.2024;GBp;326.7;4.1;positive;28.8;348.14;-55;155;12.46%;niedrig;negativ;stark unterbewertet;positiv;9.88%;STOXX600;10.6;10.10%;10%;5%;25%;59%;3;neutral;68187;1188;2%;1.24;27%;144.96%;4.27%;778
FR0000121329;HO;THALES;Luftfahrt & Verteidigung;Industrie;Frankreich;02.08.2024;EUR;144.5;2.56;neutral;33;163.52;-49;232;7.88%;mittel;positiv;leicht unterbewertet;negativ;-2.06%;STOXX600;13.5;11.60%;15%;10%;18%;24%;2;negativ;18428;1023;6%;0.87;15%;47.51%;11.22%;634
CH0012255151;UHR;THE SWATCH GROUP;Bekleidung &  Accessoires;Privat- & Haushaltswaren;Schweiz ;02.08.2024;CHF;177.35;3.82;neutral;10.65;196.1;32;222;-22.42%;mittel;negativ;stark unterbewertet;negativ;-1.81%;STOXX600;12.5;15.40%;7%;14%;86%;185%;1;negativ;7888;869;11%;8.61;0%;55.44%;15.96%;311
SE0006422390;THULE;THULE GROUP;Freizeitprodukte ;Privat- & Haushaltswaren;Schweden ;02.08.2024;SEK;289.8;3.5;neutral;2.9;326.32;66;214;5.57%;mittel;negativ;stark unterbewertet;negativ;7.18%;STOXX600;20;17.10%;16%;17%;62%;24%;2;negativ;9132;1099;12%;2.49;19%;83.28%;NULL;967
DE0007500001;TKA;THYSSENKRUPP;Stahl;Rohstoffe;Deutschland;02.08.2024;EUR;3.43;4.37;eher negative;2.3;3.26;88;316;-45.60%;hoch;negativ;leicht unterbewertet;negativ;-13.36%;STOXX600;3.2;125.80%;-18%;-2%;33%;263%;1;negativ;37536;-2072;-6%;1.83;4%;106.17%;2.79%;93
FI0009000277;TIETO;TIETOEVRY;Informatik Dienstleister;Technologie;Finnland;02.08.2024;EUR;17.97;8.48;neutral;2.38;19.65;55;173;-16.57%;mittel;positiv;leicht unterbewertet;negativ;0.91%;STOXX600;7.8;7.10%;11%;11%;45%;63%;3;negativ;2851;172;6%;0.8;19%;79.15%;11.16%;172
NO0012470089;TOM;TOMRA SYSTEMS;Industriemaschinen;Industrie;Norwegen;02.08.2024;NOK;164.2;1.48;neutral;4.73;147.52;94;297;33.01%;hoch;positiv;leicht unterbewertet;positiv;26.95%;STOXX600;25.4;26.60%;12%;8%;40%;18%;4;negativ;14756;803;5%;1.49;25%;89.36%;12.96%;598
FR0000120271;TTE;TOTALENERGIES;Öl & Gas Produzenten;Energie;Frankreich;02.08.2024;EUR;61.14;5.34;eher positive;156.45;68.6;-57;204;-0.75%;niedrig;negativ;stark unterbewertet;negativ;-1.93%;STOXX600;7.3;4.00%;19%;17%;41%;73%;1;negativ;202518;19780;10%;1.12;14%;78.87%;16.08%;6953
GB00BK9RKT01;TPK;TRAVIS PERKINS PLC.;Industrielieferanten;Industrie;Grossbritannien ;02.08.2024;GBp;893;2.48;neutral;2.53;966.34;50;158;7.77%;mittel;positiv;leicht unterbewertet;positiv;18.91%;STOXX600;11.1;21.10%;2%;4%;51%;117%;4;negativ;4862;38;1%;1.69;24%;120.78%;4.62%;82
SE0000114837;TRELB;TRELLEBORG AB;Industriemaschinen;Industrie;Schweden ;02.08.2024;SEK;371.8;2.06;neutral;8.53;357.86;-7;146;10.13%;mittel;negativ;fairer Preis;negativ;-9.46%;STOXX600;17.1;13.70%;24%;16%;70%;57%;1;negativ;34286;10075;29%;2.2;9%;57.62%;34.72%;1524
GB00BG49KP99;BBOX;TRITAX BIG BOX REIT PLC.;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Grossbritannien ;02.08.2024;GBp;166.2;4.77;eher positive;5.24;182.54;16;174;-1.60%;mittel;positiv;leicht unterbewertet;positiv;10.76%;STOXX600;17.4;12.30%;2%;73%;65%;104%;4;neutral;228;70;31%;NULL;32%;4.48%;30.65%;135
DK0060636678;TRYG;TRYG;Universalversicherungen;Versicherungen;Dänemark;02.08.2024;DKK;149.3;5.38;neutral;12.86;157.26;-43;176;1.63%;mittel;negativ;stark unterbewertet;positiv;1.69%;STOXX600;16;13.70%;9%;14%;37%;43%;3;neutral;40930;3794;9%;0.1;5%;37.25%;NULL;4607
DE000TUAG505;TUI1;TUI N;Freizeit- & Erholungsdienste ;Reisen & Freizeit;Deutschland;02.08.2024;EUR;5.58;0;eher negative;3.19;5.01;111;295;-21.03%;hoch;negativ;leicht unterbewertet;negativ;-11.09%;STOXX600;3.9;10.90%;27%;3%;7%;43%;1;negativ;20666;306;1%;0.51;21%;125.12%;5.48%;17
FR0000054470;UBI;UBISOFT ENTERTAINMENT SA;Software;Technologie;Frankreich;02.08.2024;EUR;17.48;0;neutral;2.54;20.2;22;306;-24.34%;mittel;positiv;fairer Preis;negativ;-8.17%;STOXX600;8.8;8.10%;8%;15%;37%;75%;2;negativ;2301;158;7%;2.24;41%;44.93%;40.58%;0
CH0244767585;UBSG;UBS GROUP;Banken;Geldinstitute;Schweiz ;02.08.2024;CHF;24.13;3.1;neutral;98.15;28.1;7;174;-7.55%;mittel;negativ;leicht unterbewertet;negativ;-8.01%;STOXX600;8.7;51.40%;35%;57%;5%;87%;1;negativ;64300;25027;39%;1.02;24%;4.45%;43.33%;1509
BE0003739530;UCB;UCB;Pharmaka;Gesundheitswesen;Belgien;02.08.2024;EUR;153.25;0.92;positive;31.88;163.21;-73;224;94.23%;niedrig;positiv;stark unterbewertet;positiv;10.98%;STOXX600;17;26.20%;4%;11%;58%;60%;4;positiv;5252;343;7%;1.32;19%;33.80%;19.69%;252
BE0974320526;UMI;UMICORE;Abfall & Entsorgung;Industrie;Belgien;02.08.2024;EUR;12.18;6.57;eher negative;3.29;11.57;131;305;-51.08%;hoch;negativ;stark unterbewertet;negativ;-9.82%;STOXX600;11.5;4.70%;11%;3%;37%;61%;1;negativ;18266;385;2%;1.62;20%;183.29%;NULL;192
IT0005239360;UCG;UNICREDIT;Banken;Geldinstitute;Italien;02.08.2024;EUR;34;7.41;neutral;61.76;38.88;17;192;38.41%;mittel;positiv;leicht unterbewertet;negativ;-2.26%;STOXX600;5;7.10%;15%;30%;8%;152%;2;negativ;46765;9510;20%;0.26;17%;5.96%;23.47%;2440
